repository	dipositu, rimessa
format	furmatu
introduction	intruduzzione
flexible	ghjunchevule
spelling	ortugrafia
corresponding	currispondente
split	frazziunà
sensitive	sensibile
mnemonic	mnemonicu
tokenizer	lemmatizatore
hierarchy	ierarchia
separately	staccatamente
inserting	inserzione
marker	marcatore
plugin	modulu d’estensione
bundle	pacchettu
sequence	sequenza
declaration	dichjarazione
configuration	cunfigurazione
determine	determinà
switching	trasferimentu
event	avvenimentu
executing	esecuzione
writeable	scrivibile
console	cunsola
glossary	glossariu
